Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
48000,24.56844844,48000,21.61480842,48000,23.58158166,48000,27.94780683,48000,26.03096794,48000,26.02940077,48000,23.34069838,48000,24.44094781,48000,24.46358966,48000,48.05171057,48000,0,48000,0,48000,0,48000,0,48000,0,48000,0,48000,0,48000,0
49200,24.53000142,49200,21.36340921,49200,23.48842009,49200,28.01321624,49200,26.03619179,49200,26.03457297,49200,23.23095002,49200,24.35092015,49200,24.37301554,49200,48.00439331,49200,0,49200,0,49200,0,49200,0,49200,0,49200,0,49200,0,49200,0
50400,24.51798862,50400,21.30824888,50400,23.4651796,50400,28.02487442,50400,26.03684998,50400,26.03522875,50400,23.21177238,50400,24.33342947,50400,24.35542383,50400,47.99411405,50400,0,50400,0,50400,0,50400,0,50400,0,50400,0,50400,0,50400,0
51600,24.4913005,51600,21.17968598,51600,23.40110638,51600,28.08040071,51600,26.03985052,51600,26.03841836,51600,23.11320275,51600,24.25044153,51600,24.27196757,51600,47.94340548,51600,0,51600,0,51600,0,51600,0,51600,0,51600,0,51600,0,51600,0
52800,24.46712809,52800,21.18819974,52800,23.3699898,52800,28.10658037,52800,26.04106605,52800,26.03973154,52800,23.06140345,52800,24.21117917,52800,24.23248943,52800,47.91766594,52800,0,52800,0,52800,0,52800,0,52800,0,52800,0,52800,0,52800,0
54000,24.43588304,54000,21.08578674,54000,23.28470423,54000,28.17082924,54000,26.04378713,54000,26.04258818,54000,22.9496863,54000,24.11035967,54000,24.13104199,54000,47.84842329,54000,0,54000,0,54000,0,54000,0,54000,0,54000,0,54000,0,54000,0
55200,24.39215682,55200,20.85087021,55200,23.18961824,55200,28.23146331,55200,26.04501373,55200,26.04388152,55200,22.8373225,55200,24.00819504,55200,24.02825458,55200,47.77141006,55200,0,55200,0,55200,0,55200,0,55200,0,55200,0,55200,0,55200,0
56400,24.38008049,56400,20.8012081,56400,23.16916409,56400,28.24108836,56400,26.04498063,56400,26.04384277,56400,22.81925717,56400,23.99071987,56400,24.01068197,56400,47.75764283,56400,0,56400,0,56400,0,56400,0,56400,0,56400,0,56400,0,56400,0
57600,24.35444931,57600,20.67900892,57600,23.10972673,57600,28.28530727,57600,26.0447525,57600,26.04378833,57600,22.73265324,57600,23.91102321,57600,23.93054429,57600,47.69417243,57600,0,57600,0,57600,0,57600,0,57600,0,57600,0,57600,0,57600,0
58800,24.33128504,58800,20.6850681,58800,23.08110242,58800,28.306705,58800,26.04454653,58800,26.04371992,58800,22.68593172,58800,23.87326176,58800,23.89258197,58800,47.66344129,58800,0,58800,0,58800,0,58800,0,58800,0,58800,0,58800,0,58800,0
60000,24.29705527,60000,20.59079662,60000,22.99235903,60000,28.36684662,60000,26.04361716,60000,26.0430758,60000,22.57392984,60000,23.76331035,60000,23.78200143,60000,47.57216507,60000,0,60000,0,60000,0,60000,0,60000,0,60000,0,60000,0,60000,0
61200,24.24929739,61200,20.3963996,61200,22.91552982,61200,28.42341138,61200,26.04157742,61200,26.04127723,61200,22.46186978,61200,23.65375593,61200,23.67184309,61200,47.47661784,61200,0,61200,0,61200,0,61200,0,61200,0,61200,0,61200,0,61200,0
62400,24.22201726,62400,20.32720956,62400,22.87303672,62400,28.45406546,62400,26.0399778,62400,26.03977573,62400,22.40171897,62400,23.59182677,62400,23.60959827,62400,47.42130498,62400,0,62400,0,62400,0,62400,0,62400,0,62400,0,62400,0,62400,0
63600,24.21147605,63600,20.32160387,63600,22.85829746,63600,28.4623423,63600,26.03955395,63600,26.03935167,63600,22.37809452,63600,23.5749637,63600,23.59264692,63600,47.40629208,63600,0,63600,0,63600,0,63600,0,63600,0,63600,0,63600,0,63600,0
64800,24.19802021,64800,20.30289175,64800,22.82147229,64800,28.48204602,64800,26.03850508,64800,26.03834903,64800,22.34022726,64800,23.53464188,64800,23.55210745,64800,47.37034536,64800,0,64800,0,64800,0,64800,0,64800,0,64800,0,64800,0,64800,0
66000,24.15670448,66000,20.19725247,66000,22.73770616,66000,28.53859539,66000,26.03513243,66000,26.03510953,66000,22.22614129,66000,23.41932681,66000,23.43617451,66000,47.26521296,66000,0,66000,0,66000,0,66000,0,66000,0,66000,0,66000,0,66000,0
67200,24.10852756,67200,20.00638322,67200,22.66140804,67200,28.59216095,67200,26.0307406,67200,26.03074164,67200,22.12401503,67200,23.30414623,67200,23.32042223,67200,47.15695588,67200,0,67200,0,67200,0,67200,0,67200,0,67200,0,67200,0,67200,0
68400,24.08347354,68400,19.9499724,68400,22.62895384,68400,28.61357614,68400,26.02867074,68400,26.02865238,68400,22.0747313,68400,23.25642615,68400,23.27248529,68400,47.11183644,68400,0,68400,0,68400,0,68400,0,68400,0,68400,0,68400,0,68400,0
